method,recipe,slug,url,coffee_g,ratio,water_ml,temperature_c,grind_size,tags,notes
V60,Tetsu Kasuya 4:6 Method,tetsu-kasuya,https://calculate.coffee/v60/tetsu-kasuya,20,1:15,300,93,Medium-coarse,"4:6, Hot",First 40% controls acidity/sweetness; last 60% controls strength.
V60,James Hoffmann Ultimate V60,james-hoffmann,https://calculate.coffee/v60/james-hoffmann,15,1:16.66,250,94,Medium-fine,Hot,Ratio shown as fixed on the site; bloom and two main pours.
V60,Scott Rao Bloom & Main Pour,scott-rao,https://calculate.coffee/v60/scott-rao,15,1:16.67,250,93,Medium,Hot,"Large bloom, continuous main pour and Rao Spin."
V60,Classic V60 Three-Pour Method,classic,https://calculate.coffee/v60/classic,15,1:15,225,92,Medium,Hot,Beginner-friendly three-pour profile.
V60,Lance Hedrick Pulse Pour,lance-hedrick,https://calculate.coffee/v60/lance-hedrick,15,1:15,225,94,Medium,Hot,Five even pulse pours after a generous bloom.
V60,Matt Perger Barista Hustle,matt-perger,https://calculate.coffee/v60/matt-perger,15,1:16,240,94,Medium,Hot,"Oversized bloom, aggressive pour and quick stir."
V60,Iced V60 Flash Brew,iced,https://calculate.coffee/v60/iced,15,1:13,195,94,Medium,Iced,40% ice in cup and 60% hot water through dripper.
AeroPress,James Hoffmann The Ultimate Aeropress,james-hoffmann,https://calculate.coffee/aeropress/james-hoffmann,11,1:17,187,80,Medium-fine,"Hot, Inverted","Low temperature, long steep, gentle press."
AeroPress,Classic Method The Original Technique,classic,https://calculate.coffee/aeropress/classic,15,1:15,225,85,Medium,Hot,Simple upright AeroPress method.
AeroPress,WAC Style Championship Technique,wac,https://calculate.coffee/aeropress/wac,15,1:13,195,90,Medium-coarse,"Hot, WAC",Competition-inspired lower-temperature profile.
AeroPress,Inverted Method Full Immersion Variant,inverted,https://calculate.coffee/aeropress/inverted,15,1:13,195,85,Medium,"Hot, Inverted",Full immersion with inverted brewer.
AeroPress,Iced AeroPress Flash Brew,iced,https://calculate.coffee/aeropress/iced,15,1:8,120,87,Medium,Iced,Hot concentrate brewed directly onto ice.
AeroPress,Tim Wendelboe Nordic Light Roast,tim-wendelboe,https://calculate.coffee/aeropress/tim-wendelboe,15,1:16,240,92,Medium,Hot,"Clean, minimalist light-roast profile."
AeroPress,Fellow Prismo Pressure Concentrate,fellow-prismo,https://calculate.coffee/aeropress/fellow-prismo,18,1:5,90,85,Medium,"Hot, Prismo",Pressure concentrate requiring the Prismo accessory.
Orea,Lance Hedrick Bloom & Two Pours,lance-hedrick,https://calculate.coffee/orea/lance-hedrick,15,1:16,240,94,Medium,Hot,Bloom at 3× dose followed by two controlled pours.
Orea,Standard Method Four-Pour Percolation,standard,https://calculate.coffee/orea/standard,15,1:15,225,93,Medium,Hot,"Even, methodical pours every 30 seconds."
Orea,Iced Orea Pulse Flash Brew,iced,https://calculate.coffee/orea/iced,15,1:13,195,94,Medium,Iced,Three pulse pours over ice.
French Press,James Hoffmann Ultimate French Press,james-hoffmann,https://calculate.coffee/french-press/james-hoffmann,30,1:17,510,94,Medium,Hot,"Break crust, settle grounds and decant without pressing the plunger."
French Press,Classic Method The Traditional Steep,classic,https://calculate.coffee/french-press/classic,30,1:15,450,93,Medium,Hot,Four-minute traditional steep.
French Press,Iced French Press Concentrate & Chill,iced,https://calculate.coffee/french-press/iced,30,1:11,330,94,Medium,Iced,Stronger steep poured over ice.
